bookkeeping,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,markup_description,name,newick,pk,status
True,0,0,0,,334,334,kox,coxi1236,{},6.08332,language,-72.0833,,Coxima,'Coxima [coxi1236][kox]-l-':1,1159,safe
True,0,0,0,,334,334,coy,coya1241,{},11.3333,language,-73.0,,Coyaima,'Coyaima [coya1241][coy]-l-':1,1494,safe
False,2,0,0,,53,7753,pbf,coyo1236,{},18.3814,language,-97.6258,,Coyotepec Popoloca,"('San Mateo Zoyamazalco Popoloca [sanm1302]':1,'San Vicente Coyotepec Popoloca [sanv1243]':1)'Coyotepec Popoloca [coyo1236][pbf]-l-':1",10339,vulnerable
False,1,0,0,,272,6788,toc,coyu1235,{},20.5447,language,-97.6852,,Coyutla Totonac,('Cerro Grande Totonac [cerr1235]':1)'Coyutla Totonac [coyu1235][toc]-l-':1,9432,safe
False,2,0,0,,311,311,mus,cree1270,{},31.0,language,-87.5,,Creek,"('Nuclear Creek [nucl1645]':1,'Seminole [semi1265]':1)'Creek [cree1270][mus]-l-':1",1062,severely endangered
False,0,0,0,,179,23102,gyn,creo1235,{},4.070915,language,-58.918172,,Guyanese Creole English,'Guyanese Creole English [creo1235][gyn]-l-':1,23400,safe
False,0,0,0,,179,2515,NOCODE_Crimean-Gothic,crim1255,{},45.3,language,34.4,,Crimean Gothic,'Crimean Gothic [crim1255]-l-':1,4100,safe
False,3,0,0,,64,5448,crh,crim1257,{},45.0,language,34.08,,Crimean Tatar,"('Central Crimean [cent1995]':1,'Northern Crimean [nort2692]':1,'Southern Crimean [sout2700]':1)'Crimean Tatar [crim1257][crh]-l-':1",7803,severely endangered
False,0,0,0,,150,4040,csq,croa1242,{},45.502,language,16.796,,Croatia Sign Language,'Croatia Sign Language [croa1242][csq]-l-':1,6025,safe
False,8,0,0,,68,13776,mfn,cros1244,{},6.16926,language,8.23592,,Cross River Mbembe,"('Adun [adun1238]':1,'Apiapum [apia1246]':1,'Ekama [ekam1238]':1,'Oferikpe [ofer1238]':1,'Ofombonga [ofom1238]':1,'Ofonokpan [ofon1238]':1,'Okom [okom1241]':1,'Osopong [osop1238]':1)'Cross River Mbembe [cros1244][mfn]-l-':1",16413,safe
False,0,0,0,,177,2502,cro,crow1244,{},45.368,language,-107.874,,Crow,'Crow [crow1244][cro]-l-':1,4081,definitely endangered
False,0,0,0,,73,560,crz,cruz1243,{},34.0465,language,-119.864,,Cruzeño,'Cruzeño [cruz1243][crz]-l-':1,2121,extinct
False,2,0,0,,67,541,cua,cuaa1241,{},15.1688,language,108.431,,Cua,"('Kol {Vietnam} [koll1253]':1,'Traw [traw1239]':1)'Cua [cuaa1241][cua]-l-':1",2082,vulnerable
False,0,0,0,,150,2450,csf,cuba1235,{},22.061,language,-79.209,,Cuba Sign Language,'Cuba Sign Language [cuba1235][csf]-l-':1,4019,safe
False,0,0,0,,68,10945,cbq,cuba1236,{},10.260725,language,4.684594,,Cuba,'Cuba [cuba1236][cbq]-l-':1,13830,safe
False,0,0,0,,361,5033,cub,cube1242,{},1.32382,language,-70.1939,,Cubeo,'Cubeo [cube1242][cub]-l-':1,7319,definitely endangered
False,0,0,0,,409,409,NOCODE_Cueva,cuev1238,{},,language,,,Cueva,'Cueva [cuev1238]-l-':1,1778,safe
False,9,0,0,,231,898,cui,cuib1242,{},6.19829,language,-69.8197,,Cuiba,"('Amaruwa [amar1275]':1,'Chiricoa [chir1288]':1,'Chiripo [chir1287]':1,'Masiguare [masi1272]':1,'Masiware [masi1271]':1,'Mayayero [maya1284]':1,'Mochuelo-Casanare-Cuiba [moch1258]':1,'Tampiwi [tamp1255]':1,'Yarahuuraxi-Capanapara [yara1251]':1)'Cuiba [cuib1242][cui]-l-':1",2750,definitely endangered
False,0,0,0,,,,cuy,cuit1236,{},18.1,language,-100.5,,Cuitlatec,'Cuitlatec [cuit1236]-l-':1,206,extinct
False,2,0,0,,229,2745,cul,culi1244,{},-8.55268,language,-70.6648,,Culina,"('Juruá-Jutaí [juru1257]':1,'Purus-Envira [tuku1255]':1)'Culina [culi1244][cul]-l-':1",4461,definitely endangered
False,0,0,0,,,,NOCODE_Culli,cull1235,{},-7.878618,language,-78.116456,,Culli,'Culli [cull1235]-l-':1,279,extinct
False,0,0,0,,309,4780,cuo,cuma1240,{},10.209,language,-63.018,,Cumanagoto,'Cumanagoto [cuma1240][cuo]-l-':1,7010,definitely endangered
True,0,0,0,,334,334,cum,cume1234,{},2.83332,language,-69.5,,Cumeral,'Cumeral [cume1234][cum]-l-':1,1388,safe
False,0,0,0,,179,4136,xlu,cune1239,{},,language,,,Cuneiform Luwian,'Cuneiform Luwian [cune1239][xlu]-l-':1,6236,extinct
False,0,0,0,,68,18094,cug,cung1238,{},6.59687,language,10.4104,,Chungmboko,'Chungmboko [cung1238][cug]-l-':1,19681,safe
False,0,0,0,,114,2208,cuq,cunn1236,{},19.2182,language,108.743,,Cun,'Cun [cunn1236][cuq]-l-':1,3856,severely endangered
False,0,0,0,,23,5320,cup,cupe1243,{},33.3148,language,-116.515,,Cupeño,'Cupeño [cupe1243][cup]-l-':1,7683,extinct
False,0,0,0,,361,1597,NOCODE_Curetu,cure1236,{},-1.045978,language,-70.305862,,Kueretu,'Kueretu [cure1236]-l-':1,3179,extinct
False,2,0,0,,344,12997,kpc,curr1243,{},0.69618,language,-67.5028,,Curripaco,"('Korripako [korr1239]':1,'Unhun [unhu1238]':1)'Curripaco [curr1243][kpc]-l-':1",15698,vulnerable
False,0,0,0,,409,409,NOCODE_Cusabo,cusa1237,{},,language,,,Cusabo,'Cusabo [cusa1237]-l-':1,1769,safe
False,1,0,0,,283,4639,quz,cusc1236,{},-14.0853,language,-71.7663,,Cusco Quechua,('Caylloma Quechua [cayl1238]':1)'Cusco Quechua [cusc1236][quz]-l-':1,6835,vulnerable
